src,text
script1_g_0044-6001-01-01-KSM-F-05-A.wav,보고 있는 영상 정지시켜 줘.
script1_g_0044-6002-01-01-KSM-F-05-A.wav,다음 주까지 날씨가 어때?
script1_g_0044-6003-01-01-KSM-F-05-A.wav,나 대신 점등해 줘.
script1_g_0044-6004-01-01-KSM-F-05-A.wav,이번 주 대체로 흐린지 궁금해.
script1_g_0044-6005-01-01-KSM-F-05-A.wav,지금 당장 취침 등 꺼 줘.
script1_g_0044-6006-01-01-KSM-F-05-A.wav,이번 주 평균 강수량 체크해 줘.
script1_g_0044-6007-01-01-KSM-F-05-A.wav,이번 주말 날씨 좀 알아 봐 줘.
script1_g_0044-6008-01-01-KSM-F-05-A.wav,지금 날씨는 좀 나아졌는지 알아 봐 줘.
script1_g_0044-6009-01-01-KSM-F-05-A.wav,강남구 오늘 날씨 브리핑.
script1_g_0044-6010-01-01-KSM-F-05-A.wav,어떤 길이 가장 가까워?
script1_g_0044-6011-01-01-KSM-F-05-A.wav,방에 불 좀 키고 싶다.
script1_g_0044-6012-01-01-KSM-F-05-A.wav,금융 뉴스 보여 줄래?
script1_g_0044-6013-01-01-KSM-F-05-A.wav,토스터 예열해 줄 수 있니?
script1_g_0044-6014-01-01-KSM-F-05-A.wav,즐겨찾는 항목으로 이동.
script1_g_0044-6015-01-01-KSM-F-05-A.wav,현재 가까운 도로 원활 한 곳 알려 줘.
script1_g_0044-6016-01-01-KSM-F-05-A.wav,오디오북 취침 모드 있지?
script1_g_0044-6017-01-01-KSM-F-05-A.wav,현재 도로 교통 어떤지 알려 줘.
script1_g_0044-6018-01-01-KSM-F-05-A.wav,이 주변 교통 상황은 어떻게 되니?
script1_g_0044-6019-01-01-KSM-F-05-A.wav,빵 다 구웠으니깐 토스터 오프.
script1_g_0044-6020-01-01-KSM-F-05-A.wav,지금 주가가 어제에 비해 몇 퍼센트 올랐지?
script1_g_0044-6021-01-01-KSM-F-05-A.wav,에어 청정기 켜 줘.
script1_g_0044-6022-01-01-KSM-F-05-A.wav,경부고속도로 소요시간 알려 줘
script1_g_0044-6023-01-01-KSM-F-05-A.wav,내일 태풍 언제쯤 우리나라에 올라와?
script1_g_0044-6024-01-01-KSM-F-05-A.wav,오늘 평균 기온이 얼마쯤 되는지 알고 싶다니깐!
script1_g_0044-6025-01-01-KSM-F-05-A.wav,오늘 태풍 온다는 것 같았는데 맞아?
script1_g_0044-6026-01-01-KSM-F-05-A.wav,내일의 미세먼지 농도는?
script1_g_0044-6027-01-01-KSM-F-05-A.wav,에너지 절약 모드로 셋팅해.
script1_g_0044-6028-01-01-KSM-F-05-A.wav,오늘 일교차가 어느 정도나 된대?
script1_g_0044-6029-01-01-KSM-F-05-A.wav,지름길로 어떻게 가?
script1_g_0044-6030-01-01-KSM-F-05-A.wav,내일 날씨가 뭐야?
script1_g_0044-6031-01-01-KSM-F-05-A.wav,모닝 커피 하게 머신 좀 켜.
script1_g_0044-6032-01-01-KSM-F-05-A.wav,상한가를 기록중인 주가 확인.
script1_g_0044-6033-01-01-KSM-F-05-A.wav,부엌 불 미리 켜 놓고 있어 봐.
script1_g_0044-6034-01-01-KSM-F-05-A.wav,추천 경로 보여 줘.
script1_g_0044-6035-01-01-KSM-F-05-A.wav,학교 가는 길에 사고 확인해 줘.
script1_g_0044-6036-01-01-KSM-F-05-A.wav,오디오북 남은 시간이 어떻게 돼?
script1_g_0044-6037-01-01-KSM-F-05-A.wav,오늘 저녁 기온 몇 도 까지 내려 가?
script1_g_0044-6038-01-01-KSM-F-05-A.wav,커피 끓여 줘.
script1_g_0044-6039-01-01-KSM-F-05-A.wav,영화 보니깐 소등해 줘.
